action_taken,applicant_income_000s,applicant_race_1,applicant_sex,lien_status,loan_purpose,loan_type,msamd,owner_occupancy,preapproval,property_type,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,minority_population,population,tract_to_msamd_income,ID
1,129.0,6,3,1,3,1,35614.0,1,3,1,71300.0,385,2120.0,1909.0,12.81999969482422,6160.0,307.29998779296875,10823
1,127.0,6,1,1,3,1,28740.0,1,3,1,75200.0,208,2888.0,2010.0,7.329999923706055,5607.0,153.08999633789062,5307
1,219.0,5,1,1,1,1,35004.0,1,2,1,109000.0,466,1991.0,2162.0,21.350000381469727,6819.0,97.38999938964844,9990
1,59.0,2,1,1,1,1,35614.0,1,3,1,71300.0,220,130.0,558.0,90.77999877929688,4210.0,81.66000366210938,1499
1,150.0,5,1,1,1,1,35614.0,1,2,1,71300.0,320,793.0,765.0,51.709999084472656,2483.0,181.41000366210935,6324
3,37.0,5,1,1,3,1,20524.0,1,3,1,95200.0,140,1391.0,1195.0,14.56999969482422,4373.0,99.01000213623048,10053
1,318.0,5,1,1,1,1,35004.0,1,3,1,109000.0,639,1039.0,968.0,10.600000381469728,3226.0,246.1999969482422,1336
1,60.0,5,2,1,3,1,15380.0,1,3,1,69000.0,64,1571.0,1104.0,10.15999984741211,3355.0,99.68000030517578,5273
1,80.0,5,2,1,1,1,15380.0,1,3,1,69000.0,116,1279.0,1099.0,3.7100000381469727,3422.0,125.18000030517578,5309
1,54.0,5,2,1,1,2,40380.0,1,3,1,69700.0,121,1738.0,1559.0,21.420000076293945,5051.0,90.58999633789062,916
3,19.0,2,1,1,1,1,35614.0,2,3,1,71300.0,350,887.0,413.0,21.71999931335449,2528.0,142.36000061035156,5849
1,157.0,6,1,1,3,1,35614.0,1,3,1,71300.0,290,1834.0,1670.0,19.149999618530277,5316.0,204.1999969482422,11196
1,40.0,5,1,1,1,1,15380.0,1,3,1,69000.0,83,1886.0,1540.0,8.800000190734863,5306.0,93.5999984741211,6818
